Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,2026-02-08 11:07:50,false,"San Diego Hiking","1.61","354","00:53:27","113","178","2.0","50","173","33:12","6:51","351","344","0.97","0.0","3,428","-7","78.8","No","00:53:27","1","95.0","00:27:58","00:56:19","-2","318"
Hiking,2026-01-15 08:53:55,false,"Amecameca Hiking","5.05","1,482","02:57:08","136","180","3.2","64","241","35:04","10:16","1,083","948","0.72","0.0","12,118","-17","68.0","No","02:57:08","1","84.2","01:56:43","03:27:25","12,089","13,083"
